,Series_Title,Genre,Overview,Director,Star1,Star2,Star3,Star4,Concatenated_Text
0,the shawshank redemption,drama,two imprison men bond number year find solac eventu redempt act common decenc,frank darabont,tim robbins,morgan freeman,bob gunton,william sadler,the shawshank redemption drama two imprison men bond number year find solac eventu redempt act common decenc frank darabont tim robbins morgan freeman bob gunton william sadler
1,the godfather,"crime, drama",organ crime dynasti age patriarch transfer control clandestin empir reluct son,francis ford coppola,marlon brando,al pacino,james caan,diane keaton,"the godfather crime, drama organ crime dynasti age patriarch transfer control clandestin empir reluct son francis ford coppola marlon brando al pacino james caan diane keaton"
2,the dark knight,"action, crime, drama",menac known joker wreak havoc chao peopl gotham batman must accept one greatest psycholog physic test abil fight injustic,christopher nolan,christian bale,heath ledger,aaron eckhart,michael caine,"the dark knight action, crime, drama menac known joker wreak havoc chao peopl gotham batman must accept one greatest psycholog physic test abil fight injustic christopher nolan christian bale heath ledger aaron eckhart michael caine"
3,the godfather: part ii,"crime, drama",earli life career vito corleon new york citi portray son michael expand tighten grip famili crime syndic,francis ford coppola,al pacino,robert de niro,robert duvall,diane keaton,"the godfather: part ii crime, drama earli life career vito corleon new york citi portray son michael expand tighten grip famili crime syndic francis ford coppola al pacino robert de niro robert duvall diane keaton"
4,12 angry men,"crime, drama",juri holdout attempt prevent miscarriag justic forc colleagu reconsid evid,sidney lumet,henry fonda,lee j. cobb,martin balsam,john fiedler,"12 angry men crime, drama juri holdout attempt prevent miscarriag justic forc colleagu reconsid evid sidney lumet henry fonda lee j. cobb martin balsam john fiedler"
5,the lord of the rings: the return of the king,"action, adventure, drama",gandalf aragorn lead world men sauron armi draw gaze frodo sam approach mount doom one ring,peter jackson,elijah wood,viggo mortensen,ian mckellen,orlando bloom,"the lord of the rings: the return of the king action, adventure, drama gandalf aragorn lead world men sauron armi draw gaze frodo sam approach mount doom one ring peter jackson elijah wood viggo mortensen ian mckellen orlando bloom"
6,pulp fiction,"crime, drama",live two mob hitmen boxer gangster wife pair diner bandit intertwin four tale violenc redempt,quentin tarantino,john travolta,uma thurman,samuel l. jackson,bruce willis,"pulp fiction crime, drama live two mob hitmen boxer gangster wife pair diner bandit intertwin four tale violenc redempt quentin tarantino john travolta uma thurman samuel l. jackson bruce willis"
7,schindler's list,"biography, drama, history",germanoccupi poland world war ii industrialist oskar schindler gradual becom concern jewish workforc wit persecut nazi,steven spielberg,liam neeson,ralph fiennes,ben kingsley,caroline goodall,"schindler's list biography, drama, history germanoccupi poland world war ii industrialist oskar schindler gradual becom concern jewish workforc wit persecut nazi steven spielberg liam neeson ralph fiennes ben kingsley caroline goodall"
8,inception,"action, adventure, sci-fi",thief steal corpor secret use dreamshar technolog given invers task plant idea mind ceo,christopher nolan,leonardo dicaprio,joseph gordon-levitt,elliot page,ken watanabe,"inception action, adventure, sci-fi thief steal corpor secret use dreamshar technolog given invers task plant idea mind ceo christopher nolan leonardo dicaprio joseph gordon-levitt elliot page ken watanabe"
9,fight club,drama,insomniac offic worker devilmaycar soapmak form underground fight club evolv someth much much,david fincher,brad pitt,edward norton,meat loaf,zach grenier,fight club drama insomniac offic worker devilmaycar soapmak form underground fight club evolv someth much much david fincher brad pitt edward norton meat loaf zach grenier
10,the lord of the rings: the fellowship of the ring,"action, adventure, drama",meek hobbit shire eight companion set journey destroy power one ring save middleearth dark lord sauron,peter jackson,elijah wood,ian mckellen,orlando bloom,sean bean,"the lord of the rings: the fellowship of the ring action, adventure, drama meek hobbit shire eight companion set journey destroy power one ring save middleearth dark lord sauron peter jackson elijah wood ian mckellen orlando bloom sean bean"
